"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"B4","PE0","I/O","","","","LPTIM1_ETR","TIM4_ETR","","LPTIM2_ETR","","","","UART8_RX","","SAI4_MCLK_A","","FMC_NBL0","DCMI_D2/PSSI_D2","LTDC_R0","EVENTOUT"
"B5","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","","I2C1_SDA","","I2C4_SDA","USART1_RX","LPUART1_RX","","","DFSDM1_CKIN5","FMC_NL","DCMI_VSYNC/PSSI_RDY","","EVENTOUT"
"B6","PB4(NJTRST)","I/O","SPI1_MISO","","DEBUG_JTRST","TIM16_BKIN","TIM3_CH1","","","I2S1_SDI/SPI1_MISO","I2S3_SDI/SPI3_MISO","I2S2_WS/SPI2_NSS","I2S6_SDI/SPI6_MISO","SDMMC2_D3","","UART7_TX","","","","EVENTOUT"
"B7","PG13","I/O","ETH_TXD0","","DEBUG_TRACED0","LPTIM1_OUT","","","USART10_CTS/USART10_NSS","I2S6_CK/SPI6_SCK","","USART6_CTS/USART6_NSS","","","SDMMC2_D6","ETH_TXD0","FMC_A24","TIM23_CH2","LTDC_R0","EVENTOUT"
"B8","PD7","I/O","SPI1_MOSI","","","","","DFSDM1_DATIN4","","I2S1_SDO/SPI1_MOSI","DFSDM1_CKIN1","USART2_CK","","SPDIFRX1_IN0","OCTOSPIM_P1_IO7","SDMMC2_CMD","FMC_NE1","","","EVENTOUT"
"B9","PD5","I/O","","","","","","","","","","USART2_TX","","","OCTOSPIM_P1_IO5","","FMC_NWE","","","EVENTOUT"
"B10","PD2","I/O","SDMMC1_CMD","","DEBUG_TRACED2","FMC_D7/FMC_DA7","TIM3_ETR","","TIM15_BKIN","","","","UART5_RX","LTDC_B7","","","SDMMC1_CMD","DCMI_D11/PSSI_D11","LTDC_B2","EVENTOUT"
"B11","PC12","I/O","SDMMC1_CK","","DEBUG_TRACED3","FMC_D6/FMC_DA6","TIM15_CH1","","I2C5_SMBA","I2S6_CK/SPI6_SCK","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDMMC1_CK","DCMI_D9/PSSI_D9","LTDC_R6","EVENTOUT"
"B12","PH14","I/O","","","","","","TIM8_CH2N","","","","","UART4_RX","FDCAN1_RX","","","FMC_D22","DCMI_D4/PSSI_D4","LTDC_G3","EVENTOUT"
"B13","PA13(JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO","","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"B14","PA8","I/O","RCC_MCO_1","","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","","I2C5_SCL","USART1_CK","","","USB_OTG_HS_SOF","UART7_RX","TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2","LTDC_B3","LTDC_R6","EVENTOUT"
"B15","PA12","I/O","","","","TIM1_ETR","","LPUART1_DE/LPUART1_RTS","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","SAI4_FS_B","FDCAN1_TX","","","TIM1_BKIN2","","LTDC_R5","EVENTOUT"
"C1","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C2","VSS","Power","","","","","","","","","","","","","","","","","",""
"C3","PE2","I/O","","","DEBUG_TRACECLK","","SAI1_CK1","","USART10_RX","SPI4_SCK","SAI1_MCLK_A","","SAI4_MCLK_A","OCTOSPIM_P1_IO2","SAI4_CK1","ETH_TXD3","FMC_A23","","","EVENTOUT"
"C4","PE1","I/O","","","","LPTIM1_IN2","","","","","","","UART8_TX","","","","FMC_NBL1","DCMI_D3/PSSI_D3","LTDC_R6","EVENTOUT"
"C5","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
